,AbsPercentError
CSC115,0.27088440870884006
CSC225,0.2193867443261794
CSC230,0.2429293144699634
CSC320,0.231195907466815
CSC355,0.21266373222557491
CSC360,0.2118642778713178
CSC361,0.24969894227263806
CSC370,0.23459898974498522
SENG265,0.17674965868999734
SENG310,0.23734241263197647
SENG321,0.3062955155496938
CSC111,0.8396572390971225
SENG360,0.24030615859961246
CSC226,0.19375470153809266
SENG350,0.9224593863159902
ECE360,0.41047128558362334
ECE260,0.18597423838777222
ECE255,2.231819509345794
ECE355,0.35884615384615387
